SampleID,Problem,Solution
0,Solve for x: x*x = (4),x = -2 or x = 2
1,Solve for x: (5)*x + (17) = (10),x = -7/5
2,(-25) + (-24) + (-23) + (19),The result of (-25) + (-24) + (-23) + (19) is -53.
3,(4) + (-5) + (-1),The result of (4) + (-5) + (-1) is -2.
4,Solve for x: (7)*x + (20) = (46),x = 26/7
5,Solve for x: x*x = (4),x = -2 or x = 2
6,Solve for x: (2)*x + (-1) = (100),x = 101/2
7,Solve for x: (2)*x + (17) = (72),x = 55/2
8,Solve for x: x + (6) = (-3),x = -9
9,Solve for x: x + (12) = (-7),x = -19
10,(26) + (-4) + (11) + (16) + (-14),The result of (26) + (-4) + (11) + (16) + (-14) is 35.
11,Solve for x: x + (16) = (-1),x = -17
12,Solve for x: (7)*x + (-15) = (53),x = 68/7
13,Solve for x: x*x = (49),x = -7 or x = 7
14,Solve for x: x*x = (36),x = -6 or x = 6
15,Solve for x: x*x = (36),x = -6 or x = 6
16,(31) / (29),The result of (31) / (29) is 1.0689655172413792.
17,(3) + (20) + (23) + (22),The result of (3) + (20) + (23) + (22) is 68.
18,Solve for x: (5)*x + (-9) = (77),x = 86/5
19,(0) + (4) + (7),The result of (0) + (4) + (7) is 11.
20,Solve for x: x + (17) = (-7),x = -24
21,(20) * (-32),The result of (20) * (-32) is -640.
22,Solve for x: (2)*x + (-5) = (11),x = 8
23,Solve for x: (3)*x + (4) = (44),x = 40/3
24,(-10) + (2) + (-6) + (-16) + (6),The result of (-10) + (2) + (-6) + (-16) + (6) is -24.
25,(8) + (-30) + (-22),The result of (8) + (-30) + (-22) is -44.
26,Solve for x: x*x = (1),x = -1 or x = 1
27,Solve for x: (6)*x + (11) = (71),x = 10
28,(2) + (-12) + (0) + (-17) + (-25),The result of (2) + (-12) + (0) + (-17) + (-25) is -52.
29,(-26) + (-28) + (-28) + (-29),The result of (-26) + (-28) + (-28) + (-29) is -111.
30,Solve for x: (3)*x + (17) = (-1),x = -6
31,(-23) + (-2) + (17) + (28),The result of (-23) + (-2) + (17) + (28) is 20.
32,Solve for x: (1)*x + (17) = (57),x = 40
33,(1) + (-17),The result of (1) + (-17) is -16.
34,Solve for x: (6)*x + (8) = (-12),x = -10/3
35,Solve for x: (3)*x + (-4) = (40),x = 44/3
36,Solve for x: (7)*x = (42),x = 6
37,Solve for x: x*x = (16),x = -4 or x = 4
38,Solve for x: (6)*x = (22),x = 11/3
39,Solve for x: (8)*x + (-11) = (70),x = 81/8
40,(7) * (-32),The result of (7) * (-32) is -224.
41,Solve for x: (5)*x + (10) = (55),x = 9
42,Solve for x: x + (19) = (-14),x = -33
43,(50) / (33),The result of (50) / (33) is 1.5151515151515151.
44,Solve for x: (1)*x + (-10) = (-5),x = 5
45,(11) / (37),The result of (11) / (37) is 0.2972972972972973.
46,Solve for x: x + (15) = (19),x = 4
47,Solve for x: x*x = (1),x = -1 or x = 1
48,(-15) + (26) + (26) + (12),The result of (-15) + (26) + (26) + (12) is 49.
49,(-16) + (-5) + (17) + (-20),The result of (-16) + (-5) + (17) + (-20) is -24.
50,Solve for x: (1)*x + (16) = (19),x = 3
51,Solve for x: x*x = (36),x = -6 or x = 6
52,Solve for x: (9)*x + (19) = (93),x = 74/9
53,Solve for x: x*x = (16),x = -4 or x = 4
54,Solve for x: (1)*x + (-6) = (84),x = 90
55,Solve for x: x*x = (36),x = -6 or x = 6
56,Solve for x: (10)*x + (-4) = (92),x = 48/5
57,Solve for x: (8)*x + (7) = (90),x = 83/8
58,Solve for x: x*x = (16),x = -4 or x = 4
59,(10) + (-28) + (-16),The result of (10) + (-28) + (-16) is -34.
60,Solve for x: x*x = (36),x = -6 or x = 6
61,Solve for x: x + (-13) = (-5),x = 8
62,Solve for x: (12)*x = (39),x = 13/4
63,Solve for x: x*x = (49),x = -7 or x = 7
64,Solve for x: x + (7) = (16),x = 9
65,Solve for x: (8)*x + (-3) = (88),x = 91/8
66,Solve for x: (4)*x = (-14),x = -7/2
67,Solve for x: (14)*x = (91),x = 13/2
68,(-22) + (21) + (13) + (28) + (-22),The result of (-22) + (21) + (13) + (28) + (-22) is 18.
69,Solve for x: x*x = (64),x = -8 or x = 8
70,Solve for x: (10)*x + (-7) = (27),x = 17/5
71,(14) / (42),The result of (14) / (42) is 0.3333333333333333.
72,Solve for x: (5)*x = (37),x = 37/5
73,Solve for x: (3)*x + (3) = (4),x = 1/3
74,(12) + (4),The result of (12) + (4) is 16.
75,Solve for x: (5)*x + (3) = (38),x = 7
76,(31) - (2),The result of (31) - (2) is 29.
77,(3) + (-18) + (9) + (1) + (-3),The result of (3) + (-18) + (9) + (1) + (-3) is -8.
78,Solve for x: (7)*x = (31),x = 31/7
79,Solve for x: (10)*x + (19) = (75),x = 28/5
80,(49) / (11),The result of (49) / (11) is 4.454545454545454.
81,(9) / (34),The result of (9) / (34) is 0.2647058823529412.
82,(2) / (24),The result of (2) / (24) is 0.08333333333333333.
83,Solve for x: x*x = (16),x = -4 or x = 4
84,Solve for x: (9)*x + (-1) = (9),x = 10/9
85,(-1) + (12) + (-6),The result of (-1) + (12) + (-6) is 5.
86,(9) + (15) + (24) + (-14),The result of (9) + (15) + (24) + (-14) is 34.
87,Solve for x: (15)*x = (-62),x = -62/15
88,(12) + (-20) + (10) + (-19) + (23),The result of (12) + (-20) + (10) + (-19) + (23) is 6.
89,(17) * (28),The result of (17) * (28) is 476.
